,jurisdiction,collection_id,document_role,title,url,path
0,US Federal,NTIA-2023-0005,call_overview,NTIA – AI Accountability policy report landing page,https://www.ntia.gov/issues/artificial-intelligence/ai-accountability-policy-report,data/comments/regulations_gov/NTIA-2023-0005/raw/ntia-ai-accountability-policy-report.html
1,US Federal,NTIA-2023-0005,summary_report,NTIA – AI Accountability final report (PDF),https://www.ntia.gov/sites/default/files/publications/ntia-ai-report-final.pdf,data/comments/regulations_gov/NTIA-2023-0005/raw/ntia-ai-report-final.pdf
2,US Federal,NTIA-2023-0009,summary_report,NTIA – Dual use / open model report (PDF),https://www.ntia.gov/sites/default/files/publications/ntia-ai-open-model-report.pdf,data/comments/regulations_gov/NTIA-2023-0009/raw/ntia-ai-open-model-report.pdf
3,US Federal,OMB-2023-0020,policy_guidance,OMB M-24-10 memo (PDF),https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf,data/comments/regulations_gov/OMB-2023-0020/raw/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf
4,US Federal,OMB-2023-0020,supporting_material,OMB docket attachment 2 (PDF),https://downloads.regulations.gov/OMB-2023-0020-0001/attachment_2.pdf,data/comments/regulations_gov/OMB-2023-0020/raw/OMB-2023-0020-0001_attachment_2.pdf
5,US Federal,AI-RMF-2ND-DRAFT-2022,call_overview,NIST AI Risk Management Framework hub,https://www.nist.gov/itl/ai-risk-management-framework,data/comments/nist_airmf/AI-RMF-2ND-DRAFT-2022/raw/nist-ai-risk-management-framework.html
6,US Federal,AI-RMF-2ND-DRAFT-2022,response_summary,NIST AI RMF response summary (PDF),https://www.nist.gov/document/summary-analysis-responses-nist-artificial-intelligence-risk-management-framework-ai-rmf,data/comments/nist_airmf/AI-RMF-2ND-DRAFT-2022/raw/summary-analysis-responses-ai-rmf.pdf
7,US Federal,AI-RMF-2ND-DRAFT-2022,final_framework,NIST AI 100-1 (PDF),https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,data/comments/nist_airmf/AI-RMF-2ND-DRAFT-2022/raw/NIST.AI.100-1.pdf
8,US Federal,90-FR-9088,call_notice,Federal Register notice – AI Action Plan RFI,https://www.federalregister.gov/documents/2025/02/06/2025-02305/request-for-information-on-the-development-of-an-artificial-intelligence-ai-action-plan,data/comments/nitrd_ai_rfi/90-FR-9088/raw/request-for-information-on-ai-action-plan.html
9,US Federal,90-FR-9088,responses_pdf,NITRD combined responses bundle (PDF),https://files.nitrd.gov/90-fr-9088/90-fr-9088-combined-responses.pdf,data/comments/nitrd_ai_rfi/90-FR-9088/raw/90-fr-9088-combined-responses.pdf
